0,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
2103,23,M,YCCL22N,Village,Basic Membership,31-10-2017,Yes,CID61903,Credit/Debit Card Offers,Desktop,Fiber_Optic,04:38:44,11,145.51,22122.52,9,524.17,Yes,No,No,Not Applicable,Too many ads,1
2104,51,M,0CNT9NF,City,Platinum Membership,11-04-2017,Yes,CID35569,Credit/Debit Card Offers,Smartphone,Mobile_Data,11:14:40,3,946.6,70404.86,12,760.86,No,Yes,Yes,Unsolved,Products always in Stock,0
2105,33,M,SQ8U7ZY,Town,Gold Membership,15-01-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,23:28:34,3,34.15,19207.63,Error,708.69,No,Yes,Yes,Solved,Products always in Stock,0
2106,13,M,OBQW161,City,Silver Membership,01-10-2016,Yes,CID6926,Without Offers,Smartphone,Mobile_Data,02:07:27,16,138.25,35598.21,21,757.53,Yes,No,No,Not Applicable,Poor Customer Service,0
2107,39,F,4784OD1,Town,No Membership,12-11-2016,?,CID46884,Gift Vouchers/Coupons,Smartphone,Mobile_Data,06:40:47,17,82.07,44437.51,18,687.39,No,Yes,Yes,No Information Available,Too many ads,1
2108,64,F,KSF93IK,City,Basic Membership,09-12-2015,Yes,CID5525,Without Offers,Smartphone,Mobile_Data,19:41:44,18,201.27,10180.96,25,,No,Yes,Yes,Solved in Follow-up,Too many ads,1
2109,55,M,2Y8F4US,Town,Gold Membership,04-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,10:59:42,15,1401.790728,17472.45,29,731.98,Yes,Yes,No,Not Applicable,Poor Product Quality,0
2110,23,M,SIOIQS5,City,No Membership,30-07-2016,Yes,CID45685,Without Offers,Both,Mobile_Data,13:51:12,6,1423.98,38823.62,12,,No,Yes,Yes,No Information Available,Poor Product Quality,1
2111,32,M,ISBPWZR,City,No Membership,28-01-2016,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,03:06:55,18,133.48,22999.8,27,625.9,Yes,No,Yes,Solved,Too many ads,1
2112,56,M,EC44FFW,City,Silver Membership,01-06-2015,Yes,CID45189,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:04:08,6,94.62,26889.33,22,782.46,No,Yes,No,Not Applicable,No reason specified,0
2113,16,M,XYCQP3B,Town,Basic Membership,11-12-2016,Yes,CID61219,Gift Vouchers/Coupons,Both,Mobile_Data,23:45:58,8,407.56,33315.43,13,696.36,Yes,No,Yes,Solved,Poor Website,1
2114,27,F,MQ1FUSF,,Basic Membership,08-09-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,10:36:53,6,-978.6569497,28936.39,14,655.22,No,Yes,No,Not Applicable,Poor Product Quality,1
2115,42,F,YEKY1US,Town,No Membership,04-10-2016,Yes,CID11773,Gift Vouchers/Coupons,?,Fiber_Optic,17:22:42,5,145.4,1066.2,6,624.31,Yes,No,Yes,Solved,Too many ads,1
2116,11,M,P40ZSWG,City,Premium Membership,28-11-2017,Yes,CID10474,Credit/Debit Card Offers,Desktop,Fiber_Optic,12:10:18,21,179.28,48341.85,18,716.3,No,Yes,No,Not Applicable,Poor Product Quality,0
2117,55,M,FZ0W6WE,,No Membership,28-05-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,20:56:36,11,63.11,6440.04,14,298.1229862,No,Yes,Yes,Unsolved,Too many ads,1
2118,49,F,D661Z2M,,Basic Membership,28-05-2017,Yes,CID9411,Credit/Debit Card Offers,Desktop,Mobile_Data,12:06:50,8,598.53,8287.81,21,1065.681144,No,Yes,Yes,No Information Available,Poor Product Quality,1
2119,16,M,SJBXX4A,Town,Basic Membership,13-09-2016,?,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:01:08,16,188.72,19157.85,26,,Yes,No,No,Not Applicable,Poor Customer Service,1
2120,58,M,L6WBP0Q,Town,Silver Membership,23-07-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:29:13,14,147.48,81930.21,9,708.86,Yes,No,Yes,Unsolved,Reasonable Price,0
2121,19,F,QO1ADMG,Village,Premium Membership,16-03-2017,Yes,CID15204,Without Offers,Smartphone,Wi-Fi,06:05:07,-999,586,15121.93,22,754.41,Yes,No,Yes,No Information Available,Poor Customer Service,0
2122,22,M,7IO5J67,Village,Silver Membership,20-11-2017,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,09:47:32,8,263.53,26404.79,12,794.13,Yes,No,Yes,No Information Available,No reason specified,0
2123,61,M,US2FS5G,Town,Basic Membership,13-11-2016,Yes,CID8486,Without Offers,?,Fiber_Optic,04:16:56,4,44.23,3105.85,19,530.84,Yes,No,Yes,No Information Available,Poor Customer Service,1
2124,38,F,89A4Y5D,,Platinum Membership,18-04-2017,Yes,CID31388,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,23:48:24,-999,1483.46,35146.91,18,778.92,Yes,No,Yes,No Information Available,Products always in Stock,0
2125,60,F,7VZNDW0,Town,Silver Membership,20-04-2016,Yes,CID31500,Without Offers,Smartphone,Fiber_Optic,19:00:58,15,87.51,48401.05,20,743.8,No,Yes,No,Not Applicable,Poor Product Quality,0
2126,16,M,9OM7VTI,City,Premium Membership,14-03-2016,Yes,CID3048,Gift Vouchers/Coupons,Desktop,Fiber_Optic,04:11:27,17,568.77,33372.79,14,749.93,Yes,No,Yes,Unsolved,Too many ads,0
2127,16,M,OFMAFNN,Town,Silver Membership,21-08-2017,?,CID5301,Gift Vouchers/Coupons,Both,Mobile_Data,10:25:04,19,775.45,47053.83,9,1102.137696,Yes,Yes,No,Not Applicable,Poor Customer Service,1
2128,64,M,EL1U4MY,City,Basic Membership,08-10-2017,Yes,CID42431,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20:56:14,15,176.29,25866.24,23,573.13,No,Yes,Yes,Solved,Poor Product Quality,1
2129,43,M,WA074TB,City,Premium Membership,13-10-2015,No,xxxxxxxx,Without Offers,?,Mobile_Data,18:49:59,16,33.95,37937.56,8,718.25,Yes,No,No,Not Applicable,Poor Customer Service,0
2130,27,F,K9QBD78,Town,Basic Membership,19-03-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,13:07:04,11,78.79,43316.53,5,664.15,Yes,No,Yes,Solved in Follow-up,Too many ads,1
2131,47,M,06A1G6G,Town,Platinum Membership,23-07-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,17:41:21,17,303.99,67849.23,4,806.44,Yes,Yes,Yes,Solved,Quality Customer Care,0
2132,11,F,ASM0J8H,Town,No Membership,28-04-2016,Yes,CID42515,Without Offers,Smartphone,Mobile_Data,20:59:32,12,97.25,6787.25,15,534.48,No,Yes,No,Not Applicable,Poor Product Quality,1
2133,29,F,8NUDM2V,City,Premium Membership,23-05-2016,Yes,CID49828,Credit/Debit Card Offers,Both,Mobile_Data,22:23:44,15,556.53,48371.79,27,723.3,Yes,No,Yes,Solved,No reason specified,0
2134,26,M,EWN6RSA,Town,Basic Membership,03-05-2015,?,CID11698,Without Offers,Desktop,Wi-Fi,21:57:36,7,794.33,20254.7,29,620.64,Yes,Yes,Yes,Unsolved,Poor Website,1
2135,17,F,B9Q1BOS,Village,Basic Membership,30-06-2016,No,xxxxxxxx,Without Offers,?,Mobile_Data,03:00:18,4,384.53,48599.68,Error,532.32,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
2136,31,F,5AKFO58,City,Premium Membership,02-05-2015,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,16:12:36,8,295.05,65235.96,13,837.92,No,Yes,Yes,Solved in Follow-up,Reasonable Price,0
2137,40,F,AO0HUNO,City,No Membership,02-04-2016,Yes,CID14147,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18:10:20,10,685.34,45850.85,19,581.4677192,No,Yes,Yes,Unsolved,No reason specified,1
2138,59,M,3V2CXBP,,Gold Membership,13-12-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,09:33:58,5,307.93,48838.28,18,,Yes,Yes,No,Not Applicable,Quality Customer Care,0
2139,58,M,HRFM4MQ,Town,Basic Membership,14-01-2015,?,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,11:59:21,14,179.08,14904.46,9,503.46,No,Yes,No,Not Applicable,Poor Customer Service,1
2140,45,F,54ARI1J,Town,Basic Membership,23-04-2017,Yes,CID37482,Credit/Debit Card Offers,Desktop,Mobile_Data,16:07:30,17,32.7,20426.19,19,665.61,No,Yes,No,Not Applicable,No reason specified,1
2141,59,F,JABPZ5N,City,No Membership,04-02-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,17:13:07,16,233.53,8828.83,22,518.31,Yes,No,No,Not Applicable,Too many ads,1
2142,14,F,IN7IV7N,Town,Silver Membership,12-01-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,06:44:17,14,32.3,35270.41,20,738.67,Yes,No,Yes,No Information Available,No reason specified,0
2143,38,M,BVYY21U,Town,Platinum Membership,06-07-2015,?,CID28117,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20:38:44,5,-718.0871974,53587.82,17,,No,Yes,No,Not Applicable,Reasonable Price,0
2144,22,M,X3UUSPS,,No Membership,11-10-2015,Yes,CID30191,Gift Vouchers/Coupons,Both,Wi-Fi,10:38:51,13,391.1,11307.03,20,649.81,No,Yes,Yes,No Information Available,Poor Website,1
2145,23,F,4GSVFJ4,City,No Membership,31-05-2015,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,18:40:38,19,333.39,28293.42,15,519.75,Yes,Yes,No,Not Applicable,Poor Product Quality,1
2146,34,F,OS5MY4J,City,Silver Membership,28-01-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,13:48:26,2,405.6,72811.77,11,1126.345156,Yes,No,No,Not Applicable,Quality Customer Care,0
2147,12,M,53RA6YB,Town,Basic Membership,23-03-2017,Yes,CID7757,Without Offers,Desktop,Mobile_Data,16:53:17,14,-1789.67722,24800.86,8,689.89,Yes,No,No,Not Applicable,Poor Website,1
2148,31,F,FTVT5LN,City,Basic Membership,08-02-2017,Yes,CID2888,Gift Vouchers/Coupons,Desktop,Mobile_Data,22:38:24,10,62.46,10466.06,19,637.65,Yes,No,No,Not Applicable,Poor Customer Service,1
2149,35,F,1T0L30I,,Basic Membership,03-06-2016,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,05:57:07,16,150.39,23523.28,19,602.24,Yes,No,Yes,Solved,Poor Website,1
2150,56,F,DESWHCR,Village,No Membership,10-10-2015,Yes,CID5303,Without Offers,Smartphone,Fiber_Optic,21:43:01,13,884.2199209,37481.45,12,625.6,No,Yes,No,Not Applicable,Poor Website,1
2151,55,M,TF8MN26,City,No Membership,07-01-2015,Yes,CID24188,Without Offers,Smartphone,Mobile_Data,16:46:05,12,105.16,46698.84,14,607.31,No,Yes,Yes,Solved,Poor Website,1
2152,45,M,SYNE24N,City,Platinum Membership,05-07-2016,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,00:10:45,8,556.96,35253.83,25,744.74,Yes,No,No,Not Applicable,Too many ads,0
2153,24,F,WYXZA84,Town,Basic Membership,11-02-2017,?,CID21066,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:26:45,10,1150.497941,12749.2,Error,519.49,Yes,No,Yes,Unsolved,Poor Website,1
2154,30,F,2CQJHON,,Silver Membership,01-06-2015,Yes,xxxxxxxx,Without Offers,Desktop,Mobile_Data,13:14:01,18,68.52,15417.78,15,140.9649361,Yes,No,Yes,Solved,Poor Product Quality,0
2155,20,M,DSKI2GV,Town,Premium Membership,05-05-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20:37:56,9,476,84109.32,19,50.20478935,Yes,Yes,Yes,No Information Available,Products always in Stock,0
2156,45,F,DHNO2CL,Town,Basic Membership,29-11-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,12:11:28,17,169.51,28357,8,566.01,No,Yes,Yes,Unsolved,Poor Product Quality,1
2157,50,M,NMH4L1F,Village,Platinum Membership,16-06-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:29:13,13,265.78,7853.26,6,737.3,No,Yes,Yes,Solved,Poor Customer Service,0
2158,23,M,8MV6PXC,City,Silver Membership,08-11-2015,No,xxxxxxxx,,Desktop,Wi-Fi,15:27:55,14,201.04,25757.44,18,344.7992876,Yes,No,No,Not Applicable,Too many ads,0
2159,13,M,W6CXXOZ,City,Platinum Membership,11-10-2015,?,CID49640,Gift Vouchers/Coupons,?,Mobile_Data,12:25:23,13,449.87,52939.41,Error,838.51,Yes,Yes,No,Not Applicable,User Friendly Website,0
2160,39,F,LN9DAJH,City,Silver Membership,28-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,09:24:03,11,311.13,15670.65,11,619.25,Yes,Yes,Yes,Solved in Follow-up,Poor Website,1
2161,52,F,VF5SEVM,Town,Platinum Membership,28-08-2017,Yes,CID62644,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,13:01:26,-999,304.46,27779.55,26,,Yes,No,No,Not Applicable,Poor Website,0
2162,62,F,5GSLY82,Town,Silver Membership,05-12-2017,?,CID17132,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:26:06,14,712.82,28651.51,18,664.65,Yes,Yes,Yes,Solved in Follow-up,No reason specified,1
2163,57,F,20FEHS6,Town,No Membership,13-02-2017,?,CID9097,Without Offers,Desktop,Mobile_Data,13:06:58,8,328.97,45126.87,8,1024.27266,No,Yes,Yes,Solved,Poor Website,1
2164,49,M,U9LZLFZ,,No Membership,16-06-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:44:05,2,42.37,48370.33,29,637.89,No,Yes,Yes,No Information Available,Too many ads,1
2165,50,M,DVOR0FC,Town,No Membership,08-06-2016,?,CID15515,Credit/Debit Card Offers,Desktop,Mobile_Data,17:46:49,22,81.64,43405.78,24,394.6788389,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
2166,44,F,9ZK47EO,Village,Gold Membership,11-06-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,02:13:07,9,55,22067.35,Error,780.46,Yes,No,Yes,Solved,Poor Website,0
2167,37,F,RD1OE1L,,No Membership,25-07-2015,Yes,CID14244,Gift Vouchers/Coupons,?,Wi-Fi,01:43:37,6,30.95,22664.5,27,,Yes,No,No,Not Applicable,No reason specified,1
2168,19,F,PN4FGDP,Village,Platinum Membership,19-10-2015,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,12:32:09,12,201.02,32479.35,11,,Yes,No,No,Not Applicable,Quality Customer Care,0
2169,35,M,5EMT5K4,Town,No Membership,02-12-2015,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,17:48:00,14,75.38,15165.41,26,567.3,No,Yes,Yes,No Information Available,Poor Customer Service,1
2170,26,F,B4Q252M,Village,Gold Membership,29-05-2017,Yes,CID38258,Credit/Debit Card Offers,Desktop,Fiber_Optic,20:02:48,15,391.26,27063.12,Error,331.9905847,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0
2171,48,M,DSCPZCV,Town,No Membership,22-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,02:26:02,15,165.26,17477.81,Error,,No,Yes,Yes,No Information Available,Poor Website,1
2172,43,F,NVBGDN4,Town,No Membership,19-05-2016,Yes,CID23353,Without Offers,?,Fiber_Optic,04:09:47,24,-704.2370655,30013.72,29,314.3121704,Yes,No,No,Not Applicable,Poor Website,1
2173,13,M,GA6A5CE,,Premium Membership,12-04-2017,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,23:19:54,13,258.02,1126.56,Error,1267.719608,Yes,No,No,Not Applicable,Reasonable Price,0
2174,58,F,JPQZXEE,Village,Premium Membership,01-05-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,08:59:18,13,424.52,13122.43,10,208.5135275,Yes,No,Yes,Unsolved,No reason specified,0
2175,42,F,GG6FSJF,,Silver Membership,29-12-2017,Yes,CID20801,Gift Vouchers/Coupons,Both,Fiber_Optic,16:23:00,8,619.1,21431.07,26,774.52,Yes,No,Yes,No Information Available,Too many ads,0
2176,37,F,VDOQWOG,City,Gold Membership,25-07-2015,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,21:21:10,8,-705.206138,17944.56,5,616.87,Yes,No,Yes,Unsolved,Poor Customer Service,1
2177,22,M,WVZOBQM,Town,Premium Membership,08-01-2015,Yes,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,14:22:08,7,292.42,26058.32,Error,742.6,No,Yes,Yes,No Information Available,Poor Customer Service,0
2178,57,M,Z0U4FLU,Town,No Membership,21-11-2016,Yes,CID44806,Credit/Debit Card Offers,Both,Wi-Fi,16:44:43,12,619.25,37482.97,25,645.99,Yes,No,Yes,Solved,Poor Website,1
2179,34,F,AZWE9R1,Town,Premium Membership,12-05-2016,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,05:22:21,14,32.3,1762.52,25,722.7983308,Yes,No,No,Not Applicable,Poor Customer Service,0
2180,62,M,SMFUO3G,City,Silver Membership,19-12-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,15:52:14,11,326.56,15163.57,15,687.54,No,Yes,Yes,Solved in Follow-up,No reason specified,1
2181,40,F,IIQ11D9,Town,No Membership,22-04-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,01:40:40,3,1199.181731,17055.21,14,283.1086747,No,Yes,No,Not Applicable,Too many ads,1
2182,60,M,2DPABWB,City,Premium Membership,11-02-2017,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,18:49:25,17,407.98,39720.32,Error,758.48,No,Yes,Yes,Solved,Poor Customer Service,0
2183,43,M,RFD4Y08,Town,No Membership,30-08-2017,Yes,CID40654,Gift Vouchers/Coupons,Smartphone,Mobile_Data,23:41:58,4,139.55,49366.78,16,698.12,No,Yes,Yes,Solved in Follow-up,Too many ads,1
2184,60,F,A1XQFJN,Town,Premium Membership,30-06-2017,No,xxxxxxxx,Without Offers,?,Wi-Fi,20:36:07,20,147.46,97245.24,2,759.65,No,Yes,Yes,Solved,Products always in Stock,0
2185,25,F,U5ZL1SX,City,Basic Membership,23-11-2016,Yes,CID31181,Without Offers,Smartphone,Fiber_Optic,04:51:42,8,237.33,29616.36,25,525.22,Yes,No,No,Not Applicable,Poor Customer Service,1
2186,50,F,JK26UQ4,Town,Silver Membership,08-04-2016,Yes,CID8041,Gift Vouchers/Coupons,Both,Wi-Fi,16:47:40,11,1401.57,27638.86,15,751.89,Yes,Yes,Yes,No Information Available,Products always in Stock,0
2187,25,M,9ZXG8RM,Town,Basic Membership,23-06-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:02:56,16,1482.585388,3085.85,16,683.71,Yes,No,Yes,Solved in Follow-up,Too many ads,1
2188,55,F,1HY5SK8,City,No Membership,02-11-2015,Yes,CID12884,Without Offers,Desktop,Mobile_Data,04:36:38,11,287.52,10387.5,11,,Yes,No,No,Not Applicable,Poor Website,1
2189,36,F,9AKW68X,Town,Silver Membership,14-03-2016,Yes,CID40835,Credit/Debit Card Offers,?,Mobile_Data,17:53:52,2,1325.830451,10944.6,15,679.45,No,Yes,Yes,Solved,Poor Product Quality,1
2190,64,M,Z3NVVV3,Town,No Membership,23-06-2015,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,19:57:14,23,282.07,29357.53,Error,638.63,No,Yes,Yes,Solved,Poor Website,1
2191,55,F,GICJU8N,Village,Basic Membership,07-11-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,11:28:25,17,-887.543004,28853.78,10,698.36,Yes,No,No,Not Applicable,No reason specified,1
2192,31,F,94ZDCBH,Town,No Membership,08-06-2015,Yes,xxxxxxxx,Without Offers,Both,Fiber_Optic,21:28:38,11,747.67,42493.7,1.825074286,713.45,Yes,Yes,No,Not Applicable,Too many ads,1
2193,45,M,K0HAFTG,,Premium Membership,10-10-2017,?,CID51625,Without Offers,?,Fiber_Optic,16:57:32,-999,418.61,40062.26,21,530.2983127,No,Yes,No,Not Applicable,Too many ads,0
2194,28,M,IKZJYFD,City,Silver Membership,18-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21:16:24,14,169.51,6507.29,5,621.02,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
2195,36,M,2HYAZ7F,,Platinum Membership,14-11-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,05:37:44,8,84.07,98334.89,40.79383531,771.45,Yes,No,No,Not Applicable,User Friendly Website,0
2196,18,F,N9C1X3P,Village,Premium Membership,18-05-2017,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,09:48:19,3,456.57,59076.1,Error,829.72,No,Yes,Yes,Solved,Reasonable Price,0
2197,63,M,GFU3MCC,Town,Platinum Membership,15-02-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,08:42:42,9,32.84,46343.24,6,785.86,Yes,No,Yes,No Information Available,Too many ads,0
2198,23,M,AR0REVH,Village,Basic Membership,01-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,09:23:37,23,109.24,4127.48,8,533.97,Yes,No,No,Not Applicable,Too many ads,1
2199,38,F,UFULF2W,,Gold Membership,18-01-2015,?,CID57912,Credit/Debit Card Offers,Desktop,Fiber_Optic,21:53:01,14,233.87,45513.9,8,719.21,Yes,No,No,Not Applicable,Poor Product Quality,1
2200,40,M,FU5X470,City,No Membership,05-05-2015,?,CID36498,Without Offers,Desktop,Wi-Fi,23:36:26,9,119.12,4384.76,8,,Yes,No,Yes,Solved,Too many ads,0
2201,56,F,HHQA8ID,Town,Gold Membership,16-04-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,05:48:48,9,88.2,7231.3,Error,652.91,Yes,No,No,Not Applicable,Poor Product Quality,1
2202,24,M,H8ZL4YS,Town,No Membership,12-07-2016,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,11:17:29,12,343.62,7419.66,Error,680.81,Yes,No,No,Not Applicable,Poor Customer Service,1
2203,64,F,P72W55P,Town,Silver Membership,02-03-2016,Yes,CID23003,Without Offers,Both,Wi-Fi,18:24:57,9,1007.75,17147.22,11,664.63,Yes,No,No,Not Applicable,No reason specified,0
2204,24,F,9VY1XNP,Town,No Membership,29-09-2017,?,CID32155,Credit/Debit Card Offers,Both,Wi-Fi,13:55:01,6,464.22,46882.09,15,698.54,No,Yes,No,Not Applicable,Poor Product Quality,1
2205,43,F,ES860RP,Town,Premium Membership,02-05-2017,Yes,CID32901,Without Offers,Smartphone,Fiber_Optic,11:16:00,22,54.83,89770.49,5,733.14,No,Yes,Yes,No Information Available,Reasonable Price,0
2206,14,F,5B3C7QR,City,Silver Membership,17-02-2017,Yes,CID21241,Without Offers,Desktop,Fiber_Optic,17:41:40,16,32.27,43237.83,13,128.2721818,Yes,No,Yes,No Information Available,Poor Customer Service,1
2207,22,F,VJJYI9R,,Premium Membership,13-07-2016,Yes,CID8666,Credit/Debit Card Offers,Both,Wi-Fi,18:24:32,7,51.18976149,40011.94,18,717.72,No,Yes,Yes,Solved,No reason specified,0
2208,43,M,U5W1VHX,Town,Premium Membership,11-06-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,05:48:05,10,186.84,3698.38,18,693.2898306,Yes,No,No,Not Applicable,No reason specified,0
2209,50,F,EH31SJG,Village,Premium Membership,19-06-2015,Yes,CID19673,Without Offers,Desktop,Wi-Fi,11:59:06,16,46.11,48283.81,5,741.49,No,Yes,No,Not Applicable,Too many ads,0
2210,31,F,1UT42RX,,No Membership,15-07-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,09:51:52,10,79.15,40685.79,Error,655.15,Yes,No,No,Not Applicable,No reason specified,1
2211,12,M,RYWSOGX,Town,No Membership,14-08-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:20:41,18,97.4,28901.1,36.61576543,580.47,No,Yes,No,Not Applicable,No reason specified,1
2212,61,M,202GP04,Town,Platinum Membership,31-05-2015,Yes,CID16918,Gift Vouchers/Coupons,Desktop,Mobile_Data,06:08:40,-999,43.26,3929.76,16,753.83,Yes,No,Yes,No Information Available,No reason specified,0
2213,38,F,KDY9XBD,Town,Gold Membership,19-11-2017,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,06:05:10,13,30.83,36343.26,Error,631.58,Yes,No,Yes,Solved in Follow-up,No reason specified,1
2214,61,M,15L8SPE,City,Silver Membership,14-06-2017,Yes,CID20823,Without Offers,Desktop,Wi-Fi,20:54:42,14,2770.56,44880.09,13,724.02,Yes,No,No,Not Applicable,Poor Customer Service,0
2215,52,F,BKUX4QD,Town,Silver Membership,08-02-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,02:41:56,19,34.61,14716.9,20,,No,Yes,Yes,Solved,Poor Product Quality,0
2216,31,M,7FVFA6D,City,No Membership,24-08-2015,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,18:08:01,13,34.92,22123.4,14,614.85,Yes,No,Yes,Solved in Follow-up,No reason specified,1
2217,39,M,LL87KPF,City,Premium Membership,18-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,15:57:04,12,394.2,53287.99,Error,818.74,Yes,No,No,Not Applicable,Reasonable Price,0
2218,52,M,57I7Y5E,Town,No Membership,01-07-2017,?,CID55145,Without Offers,Desktop,Wi-Fi,06:21:29,23,-776.4736503,35163.56,21,,No,Yes,No,Not Applicable,Poor Product Quality,1
2219,48,M,COWH8VO,Town,Basic Membership,08-12-2017,?,CID9215,Credit/Debit Card Offers,?,Wi-Fi,08:48:59,18,159.65,42432.89,24,861.0106861,No,Yes,No,Not Applicable,No reason specified,1
2220,21,F,VVZS73I,,Gold Membership,14-02-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,10:38:08,14,438.72,45132.64,18,770.47,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
2221,47,F,57ZHG7H,Town,Basic Membership,30-05-2016,No,xxxxxxxx,Credit/Debit Card Offers,Both,Fiber_Optic,00:38:36,6,323.31,47642.81,6,607.65,Yes,Yes,Yes,Solved,Poor Product Quality,1
2222,20,F,E5II3L5,City,No Membership,05-12-2017,?,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,22:46:49,25,918.82,26172.63,Error,612.46,Yes,No,No,Not Applicable,No reason specified,1
2223,59,F,67Q0C4R,City,Silver Membership,12-02-2015,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,22:16:28,19,432.37,35431.26,16,728.26,No,Yes,Yes,Unsolved,Products always in Stock,0
2224,62,M,0KUBGH8,Town,Platinum Membership,14-03-2015,Yes,CID55933,Without Offers,Desktop,Wi-Fi,02:39:43,15,636.44,88309.89,2,776.75,Yes,Yes,No,Not Applicable,User Friendly Website,0
